,,,,,,,400,600,1045,2090,50%,,,"Topwear,Shirts,Tshirts",,,,,,Trousers,,Dress ,,,,,,Coord Set / Jumpsuits,,,,Ethnic Kurti / Set,,,,,,,,,Denim Jeans,,,,Outerwear / Jackets,,
Style Code,Brand Name,Category Type,SKU Id,Color,Size,L1,Fibre Composition,COO,PO PRCE,OSP in SAR,PO Qnty,Knitted / Wovan,Product Name / Title,Tops_Fit,Top_Tyle,Top_Neck,Top_Lenth,Top_pattern & Prints,sleeve_length,*pattern,*product_type_trousers,Dress Print,Dress Length,Dress Shape,*sleeve_length_women_topwear_dr(dress),*neck_women(dress),*sleeve_styling(dress),*pattern,*print_or_pattern_type,*bottom_type_sets,*top_type_set,Print,Length,ethnic_sleeve_length,*ethnic_pattern,*ethnic_fit,*ethnic_type,*ethnic_neckline,*ethnic_leg_style,ethnic_sleeve_type,Jeans_Fit,Jeans_Waist Rise,Jeans_stretch,Jeans_Wash Shade,pattern,product_type_Outerwear,length_topwear_nightwear_outer
HRDS25006-A-BLACK-XL,House Of Raeli,Dresses,,Black,XL,Women,100% Cotton,India,550,90,4,Woven,Women's Black Cotton Poplin Midi Dress DRESSES,,,,,,,,,Plain,Midi,A-Line,Short Sleeves,Collared Neck,Cape Sleeve,,,,,,,,,,,,,,,,,,,,
HRDS25006-A-BLACK-XXL,House Of Raeli,Dresses,,Black,XXL,Women,100% Cotton,India,550,90,4,Woven,Women's Black Cotton Poplin Midi Dress DRESSES,,,,,,,,,Plain,Midi,A-Line,Short Sleeves,Collared Neck,Cape Sleeve,,,,,,,,,,,,,,,,,,,,
HRDS25006-B-PINK-S,House Of Raeli,Dresses,,Pink,S,Women,100% Cotton,India,550,90,4,Woven,Women's Pink Cotton Poplin Midi Dress DRESSES,,,,,,,,,Plain,Midi,A-Line,Short Sleeves,Collared Neck,Cape Sleeve,,,,,,,,,,,,,,,,,,,,
HRDS25006-B-PINK-M,House Of Raeli,Dresses,,Pink,M,Women,100% Cotton,India,550,90,7,Woven,Women's Pink Cotton Poplin Midi Dress DRESSES,,,,,,,,,Plain,Midi,A-Line,Short Sleeves,Collared Neck,Cape Sleeve,,,,,,,,,,,,,,,,,,,,
HRDS25006-B-PINK-L,House Of Raeli,Dresses,,Pink,L,Women,100% Cotton,India,550,90,7,Woven,Women's Pink Cotton Poplin Midi Dress DRESSES,,,,,,,,,Plain,Midi,A-Line,Short Sleeves,Collared Neck,Cape Sleeve,,,,,,,,,,,,,,,,,,,,
HRDS25006-B-PINK-XL,House Of Raeli,Dresses,,Pink,XL,Women,100% Cotton,India,550,90,4,Woven,Women's Pink Cotton Poplin Midi Dress DRESSES,,,,,,,,,Plain,Midi,A-Line,Short Sleeves,Collared Neck,Cape Sleeve,,,,,,,,,,,,,,,,,,,,
HRDS25006-B-PINK-XXL,House Of Raeli,Dresses,,Pink,XXL,Women,100% Cotton,India,550,90,4,Woven,Women's Pink Cotton Poplin Midi Dress DRESSES,,,,,,,,,Plain,Midi,A-Line,Short Sleeves,Collared Neck,Cape Sleeve,,,,,,,,,,,,,,,,,,,,
HRDS25017-A-BLUE-S,House Of Raeli,Dresses,,Blue,S,Women,100% Polyester,India,650,120,4,Knit,Women's Blue poly Spandex Maxi Dress DRESSES,,,,,,,,,Plain,Maxi,Bodycon,Long Sleeves,Collared Neck,Flute Sleeve,,,,,,,,,,,,,,,,,,,,
HRDS25017-A-BLUE-M,House Of Raeli,Dresses,,Blue,M,Women,100% Polyester,India,650,120,7,Knit,Women's Blue poly Spandex Maxi Dress DRESSES,,,,,,,,,Plain,Maxi,Bodycon,Long Sleeves,Off Shoulder Neck,Flute Sleeve,,,,,,,,,,,,,,,,,,,,
HRDS25017-A-BLUE-L,House Of Raeli,Dresses,,Blue,L,Women,100% Polyester,India,650,120,7,Knit,Women's Blue poly Spandex Maxi Dress DRESSES,,,,,,,,,Plain,Maxi,Bodycon,Long Sleeves,Off Shoulder Neck,Flute Sleeve,,,,,,,,,,,,,,,,,,,,
HRDS25017-A-BLUE-XL,House Of Raeli,Dresses,,Blue,XL,Women,100% Polyester,India,650,120,4,Knit,Women's Blue poly Spandex Maxi Dress DRESSES,,,,,,,,,Plain,Maxi,Bodycon,Long Sleeves,Off Shoulder Neck,Flute Sleeve,,,,,,,,,,,,,,,,,,,,
HRDS25017-A-BLUE-XXL,House Of Raeli,Dresses,,Blue,XXL,Women,100% Polyester,India,650,120,4,Knit,Women's Blue poly Spandex Maxi Dress DRESSES,,,,,,,,,Plain,Maxi,Bodycon,Long Sleeves,Off Shoulder Neck,Flute Sleeve,,,,,,,,,,,,,,,,,,,,
HRDS25017-B-WINE-S,House Of Raeli,Dresses,,Wine,S,Women,100% Polyester,India,650,120,4,Knit,Women's Wine poly Spandex Maxi Dress DRESSES,,,,,,,,,Plain,Maxi,Bodycon,Long Sleeves,Off Shoulder Neck,Flute Sleeve,,,,,,,,,,,,,,,,,,,,
HRDS25017-B-WINE-M,House Of Raeli,Dresses,,Wine,M,Women,100% Polyester,India,650,120,7,Knit,Women's Wine poly Spandex Maxi Dress DRESSES,,,,,,,,,Plain,Maxi,Bodycon,Long Sleeves,Off Shoulder Neck,Flute Sleeve,,,,,,,,,,,,,,,,,,,,
HRDS25017-B-WINE-L,House Of Raeli,Dresses,,Wine,L,Women,100% Polyester,India,650,120,7,Knit,Women's Wine poly Spandex Maxi Dress DRESSES,,,,,,,,,Plain,Maxi,Bodycon,Long Sleeves,Off Shoulder Neck,Flute Sleeve,,,,,,,,,,,,,,,,,,,,
HRDS25017-B-WINE-XL,House Of Raeli,Dresses,,Wine,XL,Women,100% Polyester,India,650,120,4,Knit,Women's Wine poly Spandex Maxi Dress DRESSES,,,,,,,,,Plain,Maxi,Bodycon,Long Sleeves,Off Shoulder Neck,Flute Sleeve,,,,,,,,,,,,,,,,,,,,
HRDS25017-B-WINE-XXL,House Of Raeli,Dresses,,Wine,XXL,Women,100% Polyester,India,650,120,4,Knit,Women's Wine poly Spandex Maxi Dress DRESSES,,,,,,,,,Plain,Maxi,Bodycon,Long Sleeves,Off Shoulder Neck,Flute Sleeve,,,,,,,,,,,,,,,,,,,,
